,json_name,pred_answer,referent,utterance,pred_correct_flag,pred_probs,implicature_type
11,CLEVR_000011.jsonl,CLEVR_000033.png,CLEVR_000033.png,Some spheres are small.,1,"[0.47708606719970703, 0.2769828736782074, 0.24593113362789154]",direct implicature
12,CLEVR_000012.jsonl,CLEVR_000038.png,CLEVR_000036.png,Some objects are cube.,0,"[0.3577354848384857, 0.01918390579521656, 0.6230805516242981]",direct implicature
13,CLEVR_000013.jsonl,CLEVR_000040.png,CLEVR_000039.png,Some yellow cubes are large.,0,"[0.36129751801490784, 0.6079537868499756, 0.030748706310987473]",direct implicature
14,CLEVR_000014.jsonl,CLEVR_000042.png,CLEVR_000042.png,Some small blue rubber objects are cube.,1,"[0.7997395992279053, 0.00022770250507164747, 0.20003274083137512]",direct implicature
15,CLEVR_000015.jsonl,CLEVR_000047.png,CLEVR_000045.png,Some small objects are metal.,0,"[0.04300697147846222, 0.1052587702870369, 0.8517342805862427]",direct implicature
16,CLEVR_000016.jsonl,CLEVR_000050.png,CLEVR_000048.png,Some small cyan spheres are rubber.,0,"[0.22070033848285675, 0.007071825675666332, 0.7722278833389282]",direct implicature
17,CLEVR_000017.jsonl,CLEVR_000053.png,CLEVR_000051.png,Some objects are yellow.,0,"[0.001960515510290861, 0.007822977378964424, 0.9902166128158569]",direct implicature
18,CLEVR_000018.jsonl,CLEVR_000056.png,CLEVR_000054.png,Some purple metal objects are cube.,0,"[0.061280976980924606, 0.0003643309173639864, 0.9383547306060791]",direct implicature
19,CLEVR_000019.jsonl,CLEVR_000059.png,CLEVR_000057.png,Some objects are sphere.,0,"[0.3001139461994171, 0.015759781002998352, 0.6841262578964233]",direct implicature
20,CLEVR_000020.jsonl,CLEVR_000060.png,CLEVR_000060.png,Some red objects are metal.,1,"[0.8948020339012146, 0.04626206308603287, 0.05893580615520477]",direct contextual cancellation
21,CLEVR_000021.jsonl,CLEVR_000063.png,CLEVR_000063.png,Some green rubber spheres are large.,1,"[0.9572885036468506, 0.010232537053525448, 0.03247895464301109]",direct contextual cancellation
22,CLEVR_000022.jsonl,CLEVR_000066.png,CLEVR_000066.png,Some small cubes are metal.,1,"[0.8432332873344421, 0.14349181950092316, 0.01327481772750616]",direct contextual cancellation
23,CLEVR_000023.jsonl,CLEVR_000069.png,CLEVR_000069.png,Some brown objects are small.,1,"[0.497798889875412, 0.17036089301109314, 0.33184027671813965]",direct contextual cancellation
24,CLEVR_000024.jsonl,CLEVR_000072.png,CLEVR_000072.png,Some objects are green.,1,"[0.9932875037193298, 0.001550985616631806, 0.005161473527550697]",direct contextual cancellation
25,CLEVR_000025.jsonl,CLEVR_000075.png,CLEVR_000075.png,Some red objects are rubber.,1,"[0.7233690023422241, 0.1729964017868042, 0.10363458096981049]",direct contextual cancellation
26,CLEVR_000026.jsonl,CLEVR_000078.png,CLEVR_000078.png,Some objects are metal.,1,"[0.9628904461860657, 0.008706217631697655, 0.02840331755578518]",direct contextual cancellation
27,CLEVR_000027.jsonl,CLEVR_000081.png,CLEVR_000081.png,Some cylinders are blue.,1,"[0.9958802461624146, 0.002667698310688138, 0.0014520245604217052]",direct contextual cancellation
28,CLEVR_000028.jsonl,CLEVR_000084.png,CLEVR_000084.png,Some objects are metal.,1,"[0.9738698601722717, 0.008151859976351261, 0.017978250980377197]",direct contextual cancellation
29,CLEVR_000029.jsonl,CLEVR_000087.png,CLEVR_000087.png,Some small objects are cylinder.,1,"[0.7594861388206482, 0.1473114788532257, 0.09320245683193207]",direct contextual cancellation
30,CLEVR_000030.jsonl,CLEVR_000090.png,CLEVR_000090.png,Some objects are sphere.,1,"[0.9273237586021423, 0.04755004495382309, 0.025126079097390175]",direct contextual cancellation
31,CLEVR_000031.jsonl,CLEVR_000095.png,CLEVR_000093.png,Some small metal cylinders are brown.,0,"[0.05240681767463684, 0.06608827412128448, 0.8815048336982727]",direct contextual cancellation
32,CLEVR_000032.jsonl,CLEVR_000096.png,CLEVR_000096.png,Some cyan metal cubes are large.,1,"[0.9270695447921753, 0.06720563769340515, 0.005724831484258175]",direct contextual cancellation
33,CLEVR_000033.jsonl,CLEVR_000099.png,CLEVR_000099.png,Some objects are small.,1,"[0.48324158787727356, 0.0559353232383728, 0.46082308888435364]",direct contextual cancellation
34,CLEVR_000034.jsonl,CLEVR_000103.png,CLEVR_000102.png,Some rubber objects are large.,0,"[0.3680952489376068, 0.41113993525505066, 0.22076478600502014]",direct contextual cancellation
35,CLEVR_000035.jsonl,CLEVR_000105.png,CLEVR_000105.png,Some objects are gray.,1,"[0.933857262134552, 0.03517211973667145, 0.030970687046647072]",direct contextual cancellation
36,CLEVR_000036.jsonl,CLEVR_000108.png,CLEVR_000108.png,Some objects are cube.,1,"[0.880354642868042, 0.08427231013774872, 0.03537305071949959]",direct contextual cancellation
37,CLEVR_000037.jsonl,CLEVR_000111.png,CLEVR_000111.png,Some yellow metal objects are cube.,1,"[0.9815341234207153, 0.009109108708798885, 0.009356748312711716]",direct contextual cancellation
38,CLEVR_000038.jsonl,CLEVR_000116.png,CLEVR_000114.png,Some large objects are rubber.,0,"[0.1834707260131836, 0.2334461212158203, 0.5830832123756409]",direct contextual cancellation
39,CLEVR_000039.jsonl,CLEVR_000117.png,CLEVR_000117.png,Some objects are small.,1,"[0.39850059151649475, 0.3723776340484619, 0.22912177443504333]",direct contextual cancellation
