,json_name,pred_answer,referent,utterance,pred_correct_flag,pred_probs,implicature_type
29,029.jsonl,087.png,087.png,Not all greens are in sandwich,1,"[0.4900569021701813, 0.26638853549957275, 0.24355454742908478]",contextual cancellation
30,030.jsonl,090.png,090.png,Not all sailboats are on the water,1,"[0.9996465444564819, 0.0003208688285667449, 3.2585197914158925e-05]",contextual cancellation
31,031.jsonl,093.png,093.png,Not all trees are in the park,1,"[0.8877871036529541, 0.0016866294899955392, 0.11052624881267548]",contextual cancellation
32,032.jsonl,096.png,096.png,Not all cups are on the tables,1,"[0.9616174101829529, 0.02978447638452053, 0.008598051965236664]",contextual cancellation
33,033.jsonl,099.png,099.png,Not all forks are on the table,1,"[0.7349813580513, 0.06751946359872818, 0.19749917089939117]",contextual cancellation
34,034.jsonl,102.png,102.png,Not all babies are wearing clothes,1,"[0.9891493916511536, 0.007849239744246006, 0.0030014854855835438]",contextual cancellation
35,035.jsonl,105.png,105.png,Not all waters are on the toilet seat,1,"[0.9992527365684509, 0.0005998627748340368, 0.00014740783080924302]",contextual cancellation
36,036.jsonl,108.png,108.png,Not all donuts are inside of boxes,1,"[0.9999992847442627, 1.1896479357176304e-08, 7.475489383068634e-07]",contextual cancellation
37,037.jsonl,111.png,111.png,Not all papers are under the sandwiches,1,"[0.9754178524017334, 0.012787042185664177, 0.011795107275247574]",contextual cancellation
38,038.jsonl,115.png,114.png,Not all legs are from elephants,0,"[0.2325420379638672, 0.7639973163604736, 0.0034606424160301685]",contextual cancellation
39,039.jsonl,117.png,117.png,Not all males are wearing ties,1,"[0.9995507597923279, 0.0002245939103886485, 0.0002245939103886485]",contextual cancellation
