,json_name,pred_answer,pred_correct_flag,pred_probs,implicature_type
16,016.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/048.png,0,"[0.9984332919120789, 0.001425398513674736, 0.00014130839554127306]",direct implicature
17,017.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/052.png,0,"[0.2018926739692688, 0.7925061583518982, 0.005601133219897747]",direct implicature
18,018.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/055.png,0,"[0.018871916458010674, 0.9700007438659668, 0.011127308011054993]",direct implicature
19,019.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/058.png,0,"[0.013230699114501476, 0.8496525883674622, 0.13711677491664886]",direct implicature
20,020.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/060.png,0,"[0.5732856392860413, 0.40892964601516724, 0.01778470352292061]",contextual cancellation
21,021.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/064.png,0,"[0.03027796559035778, 0.7925272583961487, 0.17719480395317078]",contextual cancellation
22,022.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/066.png,0,"[0.9942435622215271, 0.0005991802318021655, 0.0051573496311903]",contextual cancellation
23,023.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/069.png,0,"[0.9997897744178772, 3.188582195434719e-05, 0.00017828533600550145]",contextual cancellation
24,024.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/072.png,0,"[0.8362390398979187, 0.04477676749229431, 0.11898423731327057]",contextual cancellation
25,025.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/077.png,0,"[0.4777664840221405, 0.003181063337251544, 0.5190525054931641]",contextual cancellation
26,026.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/078.png,0,"[0.9938527345657349, 0.0005578919663093984, 0.0055893659591674805]",contextual cancellation
27,027.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/081.png,0,"[0.9408402442932129, 0.019328994676470757, 0.03983067348599434]",contextual cancellation
28,028.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/084.png,0,"[0.9805411696434021, 0.00154810247477144, 0.017910730093717575]",contextual cancellation
29,029.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/087.png,0,"[0.9613442420959473, 0.01054256409406662, 0.02811315283179283]",contextual cancellation
30,030.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/091.png,0,"[0.386310875415802, 0.49454793334007263, 0.11914116144180298]",contextual cancellation
31,031.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/093.png,0,"[0.9970922470092773, 0.0012695502955466509, 0.0016381936147809029]",contextual cancellation
32,032.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/096.png,0,"[0.8240096569061279, 0.08867044001817703, 0.08731996268033981]",contextual cancellation
33,033.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/099.png,0,"[0.8921875357627869, 0.029546024277806282, 0.0782664343714714]",contextual cancellation
34,034.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/103.png,0,"[0.05039193853735924, 0.8671466708183289, 0.08246134221553802]",contextual cancellation
35,035.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/105.png,0,"[0.9979134202003479, 3.854772512568161e-05, 0.002048025606200099]",contextual cancellation
36,036.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/108.png,0,"[0.9893717765808105, 0.002001592656597495, 0.008626704104244709]",contextual cancellation
37,037.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/113.png,0,"[0.027285965159535408, 0.15140600502490997, 0.8213080763816833]",contextual cancellation
38,038.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/114.png,0,"[0.9410898685455322, 0.04237948730587959, 0.016530541703104973]",contextual cancellation
39,039.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/117.png,0,"[0.8430148959159851, 0.15505528450012207, 0.0019297620747238398]",contextual cancellation
